"Number", "Merchant ID", "Merchant Name", "Affiliate", "Status"
"1 of 232 (0.43%)", "24423", "Firenze Seta SRL / Forzie", "linkshare", "Updated"
"2 of 232 (0.86%)", "36756", "Masdings", "linkshare", "Updated"
"3 of 232 (1.29%)", "25044", "Links of London UK", "linkshare", "Updated"
"4 of 232 (1.72%)", "36372", "The Jewellery Channel", "linkshare", "Updated"
"5 of 232 (2.16%)", "36334", "Ralph Lauren UK", "linkshare", "Failed"
"6 of 232 (2.59%)", "24797", "Karen Millen Fashions Ltd", "linkshare", "Updated"
"7 of 232 (3.02%)", "36997", "Izabel London", "linkshare", "Updated"
"8 of 232 (3.45%)", "36363", "Eve Lom", "linkshare", "Failed"
"9 of 232 (3.88%)", "35563", "Stylebop (UK)", "linkshare", "Updated"
"10 of 232 (4.31%)", "35199", "Kickers", "linkshare", "Failed"
"11 of 232 (4.74%)", "39593", "Pandora Jewellery UK Ltd", "linkshare", "Failed"
"12 of 232 (5.17%)", "36580", "Boticca.com", "linkshare", "Updated"
"13 of 232 (5.60%)", "35205", "Sweaty Betty", "linkshare", "Updated"
"14 of 232 (6.03%)", "36973", "Molton Brown", "linkshare", "Updated"
"15 of 232 (6.47%)", "35713", "Anna Scholz", "linkshare", "Updated"
"16 of 232 (6.90%)", "35663", "MyTheresa", "linkshare", "Updated"
"17 of 232 (7.33%)", "37257", "Anthropologie (UK)", "linkshare", "Updated"
"18 of 232 (7.76%)", "35664", "Jigsaw", "linkshare", "Updated"
"19 of 232 (8.19%)", "38511", "Navabi", "linkshare", "Updated"
"20 of 232 (8.62%)", "35725", "Matchesfashion.com", "linkshare", "Updated"
"21 of 232 (9.05%)", "37323", "FitFlop Ltd", "linkshare", "Failed"
"22 of 232 (9.48%)", "37547", "Fever London", "linkshare", "Updated"
"23 of 232 (9.91%)", "36373", "Warehouse Fashions Ltd", "linkshare", "Updated"
"24 of 232 (10.34%)", "36666", "Harrods", "linkshare", "Updated"
"25 of 232 (10.78%)", "36057", "Mango", "linkshare", "Updated"
"26 of 232 (11.21%)", "24274", "LinkShare UK Referral Pro", "linkshare", "Failed"
"27 of 232 (11.64%)", "39513", "English Abode", "linkshare", "Failed"
"28 of 232 (12.07%)", "37567", "The Body Shop", "linkshare", "Updated"
"29 of 232 (12.50%)", "36976", "Aftershock", "linkshare", "Updated"
"30 of 232 (12.93%)", "35703", "Radley (UK)", "linkshare", "Updated"
"31 of 232 (13.36%)", "40087", "Box 2 Ltd", "linkshare", "Failed"
"32 of 232 (13.79%)", "38401", "ASPIGA", "linkshare", "Failed"
"33 of 232 (14.22%)", "37777", "Atterley Road", "linkshare", "Updated"
"34 of 232 (14.66%)", "35814", "Amanda Wakeley", "linkshare", "Updated"
"35 of 232 (15.09%)", "24990", "French Connection UK", "linkshare", "Updated"
"36 of 232 (15.52%)", "38095", "MiH Jeans", "linkshare", "Updated"
"37 of 232 (15.95%)", "24302", "Charles Tyrwhitt LLP (UK)", "linkshare", "Updated"
"38 of 232 (16.38%)", "24862", "Benefit Cosmetics (UK)", "linkshare", "Updated"
"39 of 232 (16.81%)", "36731", "Question-air", "linkshare", "Updated"
"40 of 232 (17.24%)", "38489", "Nuxe", "linkshare", "Failed"
"41 of 232 (17.67%)", "39261", "LOVEHATS.COM", "linkshare", "Updated"
"42 of 232 (18.10%)", "35491", "The Jaeger Companys Shops", "linkshare", "Updated"
"43 of 232 (18.53%)", "39379", "Ernest Jones", "linkshare", "Failed"
"44 of 232 (18.97%)", "35151", "Isabella Oliver (UK)", "linkshare", "Updated"
"45 of 232 (19.40%)", "38021", "Luisa Via Roma (UK)", "linkshare", "Updated"
"46 of 232 (19.83%)", "38009", "Vestiaire Collective", "linkshare", "Updated"
"47 of 232 (20.26%)", "39127", "Gorgeous Shop", "linkshare", "Updated"
"48 of 232 (20.69%)", "37335", "Clarins", "linkshare", "Failed"
"49 of 232 (21.12%)", "39794", "Geox (UK)", "linkshare", "Updated"
